,Category
0,math.AP
1,gr-qc
2,math.CO
3,math.CO
4,gr-qc
5,gr-qc
6,gr-qc
7,astro-ph.SR
8,math.AP
9,math.CO
10,math.CO
11,math.AP
12,math.AP
13,gr-qc
14,math.AP
15,astro-ph.SR
16,gr-qc
17,gr-qc
18,math.AP
19,gr-qc
20,quant-ph
21,math.AP
22,math.AP
23,gr-qc
24,math.CO
25,math.CO
26,math.CO
27,math.AP
28,gr-qc
29,hep-th
30,math.AP
31,math.AP
32,gr-qc
33,gr-qc
34,quant-ph
35,math.CO
36,math.AP
37,gr-qc
38,math.CO
39,math.AP
40,gr-qc
41,math.AP
42,math.AP
43,math.AP
44,math.AP
45,math.AP
46,gr-qc
47,hep-ph
48,math.AP
49,math.CO
50,gr-qc
51,math.CO
52,math.AP
53,math.AP
54,gr-qc
55,math.AP
56,cond-mat.mtrl-sci
57,math.AP
58,math.CO
59,gr-qc
60,gr-qc
61,hep-ph
62,cs.LG
63,math.CO
64,math.AP
65,math.AP
66,math.AP
67,math.AP
68,math.AP
69,cs.LG
70,astro-ph.GA
71,gr-qc
72,hep-ph
73,gr-qc
74,hep-th
75,math.AP
76,gr-qc
77,math.AP
78,quant-ph
79,math.CO
80,math.AP
81,math.AP
82,math.AP
83,math.AP
84,astro-ph.GA
85,math.AP
86,hep-ph
87,math.CO
88,gr-qc
89,math.CO
90,math.AP
91,gr-qc
92,math.AP
93,cs.LG
94,astro-ph.GA
95,gr-qc
96,math.CO
97,math.AP
98,astro-ph.GA
99,math.CO
100,math.CO
101,hep-ph
102,math.CO
103,gr-qc
104,gr-qc
105,gr-qc
106,math.CO
107,hep-ph
108,math.CO
109,math.AP
110,quant-ph
111,math.AP
112,math.AP
113,math.CO
114,math.AP
115,math.CO
116,math.AP
117,hep-ph
118,math.AP
119,gr-qc
120,hep-ph
121,math.AP
122,math.AP
123,math.CO
124,astro-ph.SR
125,math.AP
126,math.AP
127,math.CO
128,stat.ML
129,gr-qc
130,gr-qc
131,stat.ML
132,math.CO
133,math.AP
134,quant-ph
135,math.AP
136,math.AP
137,astro-ph.SR
138,math.AP
139,math.AP
140,gr-qc
141,math.CO
142,math.AP
143,math.AP
144,gr-qc
145,math.AP
146,math.AP
147,math.AP
148,gr-qc
149,math.AP
150,math.AP
151,math.AP
152,hep-ph
153,math.AP
154,math.AP
155,math.CO
156,math.AP
157,math.AP
158,math.AP
159,astro-ph.CO
160,math.AP
161,math.AP
162,gr-qc
163,math.AP
164,math.AP
165,math.AP
166,math.AP
167,math.AP
168,math.AP
169,math.AP
170,math.AP
171,math.AP
172,math.AP
173,math.AP
174,math.CO
175,math.CO
176,math.CO
177,math.CO
178,math.AP
179,astro-ph.CO
180,math.AP
181,hep-th
182,math.AP
183,math.AP
